2019-05-04 23:42:51 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-04 23:43:21 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-04 23:44:22 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-04 23:44:53 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-04 23:45:24 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-04 23:45:54 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-04 23:46:25 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-04 23:46:56 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-04 23:47:27 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-04 23:47:57 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-04 23:48:28 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-04 23:50:00 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-04 23:50:31 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-04 23:51:02 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-04 23:52:33 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-04 23:53:35 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-04 23:54:05 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-04 23:55:38 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-04 23:56:09 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-04 23:56:40 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-04 23:57:11 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-04 23:57:42 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-04 23:58:12 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-04 23:59:45 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 00:00:46 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 00:01:17 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 00:01:47 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 00:02:18 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 00:02:49 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 00:03:50 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 00:04:51 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 00:06:24 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 00:06:55 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 00:07:26 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 00:26:27 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 00:27:29 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 00:28:31 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 00:29:02 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 00:30:03 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 00:30:34 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 00:31:05 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 00:31:36 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 00:32:07 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 00:32:38 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 00:33:08 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 00:36:12 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 00:36:43 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 00:37:14 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 00:38:16 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 00:38:47 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 00:39:18 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 00:39:49 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 00:40:19 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 00:40:50 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 00:41:51 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
2019-05-05 00:42:22 WARNING (MainThread) [homeassistant.helpers.entity] Update of light.awning is taking over 10 seconds
